id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
32wghPySDJ1mNdqhwW9YMh	Dragon Attack	The Game	46	0.7	0.867	-5.482	0.149	0.139	0.00275	0.266	0.557	88.19	258773
0TpWjIOuNMnpuRjriPbGiF	Dreamer's Ball	Jazz	45	0.607	0.369	-7.616	0.0346	0.831	0	0.419	0.406	91.684	210147
3yuJVbCLjxcu0T6bZoiWXg	Drowse	A Day At The Races	31	0.439	0.561	-10.151	0.0338	0.178	6.94e-6	0.106	0.432	145.415	223293
6IAVxNFi1W88UhDeyvOsdo	Fat Bottomed Girls	Jazz	66	0.332	0.683	-7.679	0.0491	0.0322	6.51e-6	0.342	0.419	88.522	255600
4jhf92TFSbLis5IFBEgimq	Father To Son	Queen II	37	0.155	0.646	-11.086	0.0541	0.208	6.78e-5	0.188	0.213	155.32	373853
1pQQRiL4O3weDAqk85hrYN	Fight From The Inside	News Of The World	37	0.577	0.848	-5.673	0.0755	0.125	2.74e-4	0.613	0.327	89.967	181627
0oHH9pt7O822uyspUQW0NW	Flick Of The Wrist	Sheer Heart Attack	35	0.338	0.834	-6.061	0.0882	0.0454	4.68e-5	0.227	0.553	148.223	197293
3EGlnkJGcwz73rT0oE0X1X	Friends Will Be Friends	A Kind Of Magic	62	0.447	0.531	-7.721	0.0269	0.0377	1.28e-5	0.336	0.339	75.051	246907
6jtctBYvybxCAmlg7nT6CS	Fun It	Jazz	36	0.832	0.614	-6.846	0.296	0.121	0.00897	0.0808	0.834	113.88	208827
6yDXKV8vEcJQgFievS1SbZ	Funny How Love Is	Queen II	33	0.444	0.945	-8.388	0.081	0.00318	7.85e-5	0.346	0.392	145.482	169760
4omLxn4XuiHhpwTpO9Yj68	Get Down, Make Love	News Of The World	34	0.446	0.713	-4.825	0.268	0.41	0	0.212	0.369	143.229	230120
2L1yuPvbfQGgYFu4OPf1cR	Gimme The Prize	A Kind Of Magic	38	0.236	0.948	-5.621	0.25	0.0428	0.0885	0.354	0.0983	84.768	273973
2ISPUUp4pzssWuR2Ic09vR	God Save The Queen	A Night At The Opera	47	0.17	0.293	-15.308	0.0369	0.754	0.857	0.279	0.24	117.483	75333
5ajVHIX0J3vyUmPhqCBx9U	Good Company	A Night At The Opera	42	0.488	0.409	-11.254	0.0431	0.799	1.87e-5	0.322	0.542	183.614	203440
7mg3XY5ti0yzp8RZL939Da	Good Old-Fashioned Lover Boy	A Day At The Races	43	0.543	0.461	-6.724	0.0302	0.577	0	0.0563	0.385	96.803	173173
385Urz8Qa8CIcK9tl3SA8g	Great King Rat	Queen	38	0.35	0.845	-12.339	0.2	0.0424	6.22e-4	0.111	0.421	135.252	342880
7Im5F8fliiF16D2te5rYNv	Hammer To Fall	The Works	49	0.398	0.839	-4.546	0.0922	0.361	1e-4	0.102	0.468	128.452	265440
6goUTcMn0V30hWtKFIj6Kh	Headlong	Innuendo	55	0.566	0.912	-5.265	0.0964	0.192	7.19e-6	0.127	0.372	143.982	277773
3Klfd4rsRO53fYpxmdQmYV	Heaven For Everyone	Made In Heaven	55	0.593	0.425	-9.775	0.0288	0.29	1.34e-6	0.167	0.268	110.208	336160
4HF7ddEW0eadUpIi3iSqiB	I Can't Live With You	Innuendo	36	0.47	0.873	-4.121	0.0884	0.377	0	0.213	0.444	91.49	273560
3Dpyn5Cu7BdURzo2ov4dku	I Want It All	The Miracle	59	0.377	0.842	-5.119	0.0492	0.025	8.33e-5	0.287	0.387	92.369	280480
1MsBRSbt5dqJSw3RxXtvCM	I Want To Break Free	The Works	71	0.875	0.407	-10.505	0.0376	0.0769	7.85e-4	0.116	0.777	109.088	198773
