player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Filip Đuričić,MF,Serbia,30.88,0.2,0,0,0,1,0,0,2,5.2,83.3,9,Europe,fase de grupos,no
Firas Al-Buraikan,MF,Saudi Arabia,22.6,3,0,0,2,3,7,0,3,99.3,66.7,94,Asia,fase de grupos,no
Fodé Ballo-Touré,DF,Senegal,25.96,0.1,0,0,0,0,0,0,1,1.9,62.5,10,Africa,octavos de final,no
Fran Karačić,DF,Australia,26.6,1,0,0,3,0,9,0,2,25.8,61.1,69,Oceania,octavos de final,no
Francisco Calvo,DF,Costa Rica,30.45,2,0,2,6,0,12,0,2,66.7,82.7,121,North America,fase de grupos,si
Fred,MF,Brazil,29.79,1.6,0,1,3,0,7,0,4,29.6,85.5,98,South America,cuartos de final,si
Frenkie de Jong,MF,Netherlands,25.6,5.3,0,1,4,6,30,1,5,99,88.7,408,Europe,cuartos de final,si
Félix Torres Caicedo,DF,Ecuador,25.93,3,0,0,1,0,17,0,3,100,80.8,233,South America,fase de grupos,no
Gabriel Jesus,FW,Brazil,25.71,1,0,0,1,4,2,0,3,19.4,78.6,39,South America,cuartos de final,no
Garang Kuol,FW,Australia,18.26,0.4,0,0,1,0,0,0,2,10.3,60,10,Oceania,octavos de final,no
Gareth Bale,FW,Wales,33.42,2.5,0,1,2,5,9,1,3,83.3,62.3,68,Europe,fase de grupos,si
Gavi,MF,Spain,18.37,3.2,0,0,9,14,7,1,4,72.8,86.4,183,Europe,octavos de final,no
Gaël Ondoua,MF,Cameroon,27.12,0.5,0,0,2,1,2,0,2,17.4,89.5,25,Africa,fase de grupos,no
Georges-Kévin N'Koudou,FW,Cameroon,27.84,0.3,0,0,1,1,3,0,2,10,75,20,Africa,fase de grupos,no
Germán Pezzella,DF,Argentina,31.48,0.7,0,1,2,2,1,0,3,8.7,93.3,47,South America,final o tercer puesto,si
Gerson Torres,MF,Costa Rica,25.31,0.7,0,0,1,8,4,0,1,23.7,100,25,North America,fase de grupos,no
Ghaylène Chaalali,MF,Tunisia,28.8,0.2,0,0,1,0,2,0,1,6.3,75,11,Africa,fase de grupos,no
